127.0.0.1 - - [21/Nov/2016:16:33:08 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:33:09 +0530] "GET /blabby/ HTTP/1.1" 200 2117
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:33:10 +0530] "GET /blabby/css/flexslider.css HTTP/1.1" 200 4561
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:33:10 +0530] "GET /blabby/css/bootstrap.css HTTP/1.1" 200 141622
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:33:10 +0530] "GET /blabby/css/style.css HTTP/1.1" 200 45576
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:33:10 +0530] "GET /blabby/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:33:10 +0530] "GET /blabby/js/move-top.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:33:10 +0530] "GET /blabby/js/easing.js HTTP/1.1" 200 4759
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:33:32 +0530] "GET /blabby/images/banners.jpg HTTP/1.1" 200 751338
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:33:32 +0530] "GET /blabby/images/social-icons.png HTTP/1.1" 200 4432
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:34:09 +0530] "GET /blabby/signin.html HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:34:09 +0530] "GET /blabby/js/jquery.min.js HTTP/1.1" 200 84355
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:34:09 +0530] "GET /blabby/css/styless.css HTTP/1.1" 200 11565
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:34:09 +0530] "GET /blabby/js/index.js HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:34:09 +0530] "GET /blabby/images/blu.jpg HTTP/1.1" 200 65213
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:36:04 +0530] "GET /blabby/signin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:36:06 +0530] "GET /blabby/css/styless.css HTTP/1.1" 200 11580
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:36:06 +0530] "GET /blabby/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:36:06 +0530] "GET /blabby/images/blu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:36:06 +0530] "GET /blabby/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2016:16:36:35 +0530] "GET /blabby/blog.html HTTP/1.1" 200 1934
